TIME,SIZE,RESP,TH,ERROR
2006-07-06 15:37:22,2506,2951,0.849203659776347,NO
2006-07-11 18:30:35,2551,1834,1.39094874591058,NO
2006-07-11 19:30:53,2552,1849,1.3802055164954,NO
2006-07-11 20:30:42,2552,1827,1.3968253968254,NO
2006-07-11 21:30:33,2553,1948,1.3105749486653,NO
2006-07-11 22:31:16,2553,1883,1.35581518852894,NO
2006-07-11 23:30:44,2553,5228,0.488332058148432,NO
2006-07-12 00:30:43,2553,1840,1.3875,NO
2006-07-12 01:30:48,2553,1904,1.34086134453782,NO
2006-07-12 02:31:52,2553,1824,1.39967105263158,NO
2006-07-12 03:31:07,2553,1835,1.39128065395095,NO
2006-07-12 04:30:32,2553,3068,0.832138200782269,NO
2006-07-12 05:32:01,2553,1829,1.39584472389284,NO
2006-07-12 06:30:35,2553,1824,1.39967105263158,NO
2006-07-12 07:30:40,2553,1841,1.38674633351439,NO
2006-07-12 08:30:59,2553,6532,0.390845070422535,NO
2006-07-12 09:30:35,2498,2442,1.02293202293202,NO
2006-07-12 10:31:52,2498,10436,0.239363740896895,NO
2006-07-12 11:31:25,2498,18560,0.134590517241379,NO
2006-07-12 12:30:42,2498,2002,1.24775224775225,NO
2006-07-12 13:30:48,2502,3943,0.634542226730916,NO
2006-07-12 14:30:47,2508,2400,1.045,NO
2006-07-12 15:30:50,2555,1910,1.33769633507853,NO
2006-07-12 16:30:41,2553,1863,1.37037037037037,NO
2006-07-12 17:30:41,2553,1868,1.36670235546039,NO
2006-07-12 18:30:33,2551,1846,1.3819068255688,NO
2006-07-12 19:30:58,2550,6843,0.372643577378343,NO
2006-07-12 20:30:35,2550,1858,1.3724434876211,NO
2006-07-12 21:30:35,2551,1837,1.3886771910724,NO
2006-07-12 22:30:36,2553,1828,1.39660831509847,NO
2006-07-12 23:30:36,2553,1883,1.35581518852894,NO
2006-07-13 00:33:07,2553,1888,1.35222457627119,NO
2006-07-13 01:30:38,2553,3434,0.743447874199185,NO
2006-07-13 02:30:32,2553,1832,1.39355895196507,NO
2006-07-13 03:30:33,2553,1979,1.2900454775139,NO
2006-07-13 04:30:33,2553,1835,1.39128065395095,NO
2006-07-13 05:30:33,2553,1850,1.38,NO
2006-07-13 06:30:32,2553,1842,1.38599348534202,NO
2006-07-13 07:30:31,2553,1851,1.37925445705024,NO
2006-07-13 08:30:33,2553,1912,1.3352510460251,NO
2006-07-13 09:30:49,2498,5270,0.474003795066414,NO
2006-07-13 10:30:48,2498,1935,1.29095607235142,NO
2006-07-13 11:30:44,2498,2286,1.09273840769904,NO
2006-07-13 12:30:41,2498,1890,1.32169312169312,NO
2006-07-13 13:30:42,2505,1928,1.29927385892116,NO
2006-07-13 14:30:46,2508,2023,1.23974295600593,NO
2006-07-13 15:30:36,2546,2046,1.24437927663734,NO
2006-07-13 16:36:20,0,41068,0,YES
2006-07-13 17:30:38,2556,7530,0.339442231075697,NO
2006-07-13 18:30:49,2553,11894,0.214646040020178,NO
2006-07-13 19:30:42,2553,1830,1.39508196721311,NO
2006-07-13 20:30:40,2553,1886,1.35365853658537,NO
2006-07-13 21:30:34,2554,1859,1.37385691231845,NO
2006-07-13 22:30:33,2554,1858,1.3745963401507,NO
2006-07-13 23:30:33,2554,1832,1.39410480349345,NO
2006-07-14 00:30:32,2554,1910,1.33717277486911,NO
2006-07-14 01:30:34,2554,1842,1.38653637350706,NO
2006-07-14 02:30:33,2554,1832,1.39410480349345,NO
2006-07-14 03:30:31,2554,1920,1.33020833333333,NO
2006-07-14 04:30:33,2554,2029,1.25874815179892,NO
2006-07-14 05:30:32,2554,1852,1.37904967602592,NO
2006-07-14 06:30:35,2554,1865,1.36943699731903,NO
2006-07-14 07:30:36,2554,1854,1.37756202804746,NO
2006-07-14 08:30:38,2554,2090,1.22200956937799,NO
2006-07-14 09:30:41,2498,1910,1.30785340314136,NO
2006-07-14 10:30:33,2501,2001,1.24987506246877,NO
2006-07-14 11:30:37,2501,1949,1.28322216521293,NO
2006-07-14 12:30:36,2505,2344,1.06868600682594,NO
2006-07-14 13:30:47,2512,1993,1.26041144004014,NO
2006-07-14 14:30:37,2515,2601,0.966935793925413,NO
